Id,Weekly_Sales
1_1_2012-11-02,6846.33
1_1_2012-11-09,8933.49
1_1_2012-11-16,6994.02
1_1_2012-11-23,7897.84
1_1_2012-11-30,10521.92
1_1_2012-12-07,12799.83
1_1_2012-12-14,9467.61
1_1_2012-12-21,10430.02
1_1_2012-12-28,6994.39
1_1_2013-01-04,1294.49
1_1_2013-01-11,12811.2
1_1_2013-01-18,2744.03
1_1_2013-01-25,8801.73
1_1_2013-02-01,8049.35
1_1_2013-02-08,8715.34
1_1_2013-02-15,6063.4
1_1_2013-02-22,23.81
1_1_2013-03-01,6658.31
1_1_2013-03-08,11843.33
1_1_2013-03-15,8512.92
1_1_2013-03-22,8075.16
1_1_2013-03-29,8489.71
1_1_2013-04-05,8219.32
1_1_2013-04-12,7339.5
1_1_2013-04-19,6316.26
1_1_2013-04-26,5960.36
1_1_2013-05-03,2611.96
1_1_2013-05-10,3519.38
1_1_2013-05-17,12162.95
1_1_2013-05-24,4281.95
1_1_2013-05-31,8841.46
1_1_2013-06-07,7227.01
1_1_2013-06-14,7091.35
1_1_2013-06-21,1627.4
1_1_2013-06-28,4435.18
1_1_2013-07-05,7588.78
1_1_2013-07-12,9562.1
1_1_2013-07-19,7088.38
1_1_2013-07-26,9566.94
1_2_2012-11-02,4283.33
1_2_2012-11-09,226.59
1_2_2012-11-16,6695.56
1_2_2012-11-23,9417.44
1_2_2012-11-30,9256.48
1_2_2012-12-07,6389.06
1_2_2012-12-14,6499.57
1_2_2012-12-21,4662.22
1_2_2012-12-28,9024.54
1_2_2013-01-04,8215.98
1_2_2013-01-11,10917.12
1_2_2013-01-18,9681.36
1_2_2013-01-25,8755.35
1_2_2013-02-01,2943.75
1_2_2013-02-08,1926.02
1_2_2013-02-15,1569.19
1_2_2013-02-22,4769.72
1_2_2013-03-01,1117.93
1_2_2013-03-08,5832.17
1_2_2013-03-15,8434.15
1_2_2013-03-22,5406.59
1_2_2013-03-29,2547.31
1_2_2013-04-05,6773.24
1_2_2013-04-12,6009.92
1_2_2013-04-19,6460.21
1_2_2013-04-26,8728.5
1_2_2013-05-03,9992.12
1_2_2013-05-10,1156.41
1_2_2013-05-17,8646.12
1_2_2013-05-24,11312.62
1_2_2013-05-31,6699.31
1_2_2013-06-07,8251.5
1_2_2013-06-14,3170.45
1_2_2013-06-21,4902.89
1_2_2013-06-28,5423.28
1_2_2013-07-05,8232.73
